21XYZ10033,Pammy,Terrelly,pammy.terrelly@vitbhopal.ac.in,Female,78,92,67,53,49,93
21XYZ10034,Aleda,Fargie,aleda.fargie@vitbhopal.ac.in,Female,74,40,86,73,55,77
21XYZ10035,Brodie,Morgue,brodie.morgue@vitbhopal.ac.in,Male,40,95,94,61,87,76
21XYZ10036,Margalo,Dyott,margalo.dyott@vitbhopal.ac.in,Female,52,48,51,65,75,83
21XYZ10037,Hildegaard,Hatchette,hildegaard.hatchette@vitbhopal.ac.in,Female,98,42,89,48,96,43
21XYZ10038,Templeton,Huckerby,templeton.huckerby@vitbhopal.ac.in,Male,70,63,70,40,58,77
21XYZ10039,Myrah,Rait,myrah.rait@vitbhopal.ac.in,Female,40,44,62,74,67,86
21XYZ10040,Erna,Carne,erna.carne@vitbhopal.ac.in,Female,86,98,42,48,48,54
21XYZ10041,Moshe,Punyer,moshe.punyer@vitbhopal.ac.in,Male,85,82,83,57,94,75
21XYZ10042,Ariella,Grannell,ariella.grannell@vitbhopal.ac.in,Female,68,88,59,72,94,100
21XYZ10043,Nikoletta,Cuttler,nikoletta.cuttler@vitbhopal.ac.in,Female,68,71,100,92,44,52
21XYZ10044,Roarke,Ysson,roarke.ysson@vitbhopal.ac.in,Male,78,77,74,50,53,97
21XYZ10045,Osbourn,Aldwich,osbourn.aldwich@vitbhopal.ac.in,Male,69,76,98,47,53,51
21XYZ10046,Berna,Dudenie,berna.dudenie@vitbhopal.ac.in,Female,86,50,96,53,47,75
21XYZ10047,Lucie,Elph,lucie.elph@vitbhopal.ac.in,Female,49,68,80,43,97,75
21XYZ10048,Jennine,Awcock,jennine.awcock@vitbhopal.ac.in,Female,51,84,98,70,86,91
21XYZ10049,Roddie,Secret,roddie.secret@vitbhopal.ac.in,Male,63,64,97,53,60,75
21XYZ10050,Leonerd,King,leonerd.king@vitbhopal.ac.in,Male,84,66,96,53,95,86
21XYZ10051,Colver,Ruffler,colver.ruffler@vitbhopal.ac.in,Male,57,64,55,53,62,67
21XYZ10052,Booth,Habert,booth.habert@vitbhopal.ac.in,Male,56,99,99,67,55,86
21XYZ10053,Jessica,Gethyn,jessica.gethyn@vitbhopal.ac.in,Female,99,100,93,48,66,60
21XYZ10054,Dicky,Sheach,dicky.sheach@vitbhopal.ac.in,Male,58,94,87,55,82,56
21XYZ10055,Constancy,Josselsohn,constancy.josselsohn@vitbhopal.ac.in,Female,63,82,76,57,41,89
21XYZ10056,Kattie,Brittle,kattie.brittle@vitbhopal.ac.in,Female,52,95,73,89,50,41
21XYZ10057,Laughton,Corke,laughton.corke@vitbhopal.ac.in,Male,76,83,54,49,96,46
21XYZ10058,Neil,Gedney,neil.gedney@vitbhopal.ac.in,Male,50,71,90,51,48,54
21XYZ10059,Millisent,Rossi,millisent.rossi@vitbhopal.ac.in,Male,97,41,73,63,52,96
21XYZ10060,Kelbee,Scrivens,kelbee.scrivens@vitbhopal.ac.in,Female,83,91,60,86,85,94
21XYZ10061,Joleen,Stockbridge,joleen.stockbridge@vitbhopal.ac.in,Female,95,54,42,54,71,83
21XYZ10062,Durand,Dudmesh,durand.dudmesh@vitbhopal.ac.in,Male,92,43,57,67,61,55
21XYZ10063,Lindsay,Rome,lindsay.rome@vitbhopal.ac.in,Male,92,43,86,100,85,75
21XYZ10064,Ogdan,Winthrop,ogdan.winthrop@vitbhopal.ac.in,Male,78,70,61,85,56,99
21XYZ10065,Lucien,Kibbel,lucien.kibbel@vitbhopal.ac.in,Male,70,50,55,64,61,72
21XYZ10066,Dene,Lane,dene.lane@vitbhopal.ac.in,Male,45,66,60,56,57,69
21XYZ10067,Hazel,Leonards,hazel.leonards@vitbhopal.ac.in,Male,54,53,59,51,75,86
21XYZ10068,Zahara,Karlowicz,zahara.karlowicz@vitbhopal.ac.in,Female,61,79,56,73,68,86
21XYZ10069,Kirsten,Lenchenko,kirsten.lenchenko@vitbhopal.ac.in,Female,48,74,46,84,88,90
21XYZ10070,Lorianna,Peaden,lorianna.peaden@vitbhopal.ac.in,Female,45,74,98,89,57,42
