21XYZ10018,Verla,Sciusscietto,verla.sciusscietto@vitbhopal.ac.in,Male,61,61,68,82,68,73,68,76,92,73,60,86
21XYZ10019,Tyrus,Browell,tyrus.browell@vitbhopal.ac.in,Male,85,76,57,46,48,50,93,60,65,80,100,64
21XYZ10020,Demeter,Lomas,demeter.lomas@vitbhopal.ac.in,Male,54,94,95,46,88,60,98,77,71,61,70,66
21XYZ10021,Tonnie,McGrudder,tonnie.mcgrudder@vitbhopal.ac.in,Male,87,69,55,47,58,81,60,82,73,91,84,82
21XYZ10022,Romola,Kerins,romola.kerins@vitbhopal.ac.in,Female,100,85,68,98,63,55,99,87,93,96,75,86
21XYZ10023,Marianne,Plampin,marianne.plampin@vitbhopal.ac.in,Female,84,71,87,40,96,74,78,90,66,71,67,74
21XYZ10024,Olwen,Ganniclifft,olwen.ganniclifft@vitbhopal.ac.in,Female,69,94,44,73,59,97,99,64,67,71,92,62
21XYZ10025,Lorne,Lyles,lorne.lyles@vitbhopal.ac.in,Female,42,97,70,59,90,64,77,81,95,97,95,99
21XYZ10026,Tobi,Bigland,tobi.bigland@vitbhopal.ac.in,Female,51,68,86,57,69,98,63,92,82,84,70,90
21XYZ10027,Putnem,Martins,putnem.martins@vitbhopal.ac.in,Male,100,74,65,79,46,68,82,65,70,98,76,82
21XYZ10028,Trumann,Reekie,trumann.reekie@vitbhopal.ac.in,Male,66,42,95,86,75,49,99,68,91,77,84,96
21XYZ10029,Jeramey,Jaksic,jeramey.jaksic@vitbhopal.ac.in,Male,69,86,75,74,87,94,73,77,64,67,68,72
21XYZ10030,Hadleigh,Pavyer,hadleigh.pavyer@vitbhopal.ac.in,Male,44,63,89,44,52,78,94,90,97,66,100,89
21XYZ10031,Townsend,Umbert,townsend.umbert@vitbhopal.ac.in,Female,71,44,54,63,97,68,90,97,96,98,86,94
21XYZ10032,Adelbert,Carmody,adelbert.carmody@vitbhopal.ac.in,Male,96,42,56,90,57,62,61,71,99,71,66,77
21XYZ10033,Pammy,Terrelly,pammy.terrelly@vitbhopal.ac.in,Female,78,92,67,53,49,93,77,92,93,84,69,83
21XYZ10034,Aleda,Fargie,aleda.fargie@vitbhopal.ac.in,Female,74,40,86,73,55,77,66,64,69,70,98,74
21XYZ10035,Brodie,Morgue,brodie.morgue@vitbhopal.ac.in,Male,40,95,94,61,87,76,69,65,76,68,77,89
21XYZ10036,Margalo,Dyott,margalo.dyott@vitbhopal.ac.in,Female,52,48,51,65,75,83,73,60,83,73,88,71
21XYZ10037,Hildegaard,Hatchette,hildegaard.hatchette@vitbhopal.ac.in,Female,98,42,89,48,96,43,90,60,100,75,72,68
21XYZ10038,Templeton,Huckerby,templeton.huckerby@vitbhopal.ac.in,Male,70,63,70,40,58,77,87,99,98,71,83,82
21XYZ10039,Myrah,Rait,myrah.rait@vitbhopal.ac.in,Female,40,44,62,74,67,86,65,77,60,77,90,61
21XYZ10040,Erna,Carne,erna.carne@vitbhopal.ac.in,Female,86,98,42,48,48,54,91,96,72,98,66,67
21XYZ10041,Moshe,Punyer,moshe.punyer@vitbhopal.ac.in,Male,85,82,83,57,94,75,91,97,92,74,70,64
21XYZ10042,Ariella,Grannell,ariella.grannell@vitbhopal.ac.in,Female,68,88,59,72,94,100,90,65,69,89,77,61
21XYZ10043,Nikoletta,Cuttler,nikoletta.cuttler@vitbhopal.ac.in,Female,68,71,100,92,44,52,62,76,80,79,80,98
21XYZ10044,Roarke,Ysson,roarke.ysson@vitbhopal.ac.in,Male,78,77,74,50,53,97,82,81,72,77,96,70
21XYZ10045,Osbourn,Aldwich,osbourn.aldwich@vitbhopal.ac.in,Male,69,76,98,47,53,51,97,64,98,78,64,74
21XYZ10046,Berna,Dudenie,berna.dudenie@vitbhopal.ac.in,Female,86,50,96,53,47,75,90,79,88,78,67,61
21XYZ10047,Lucie,Elph,lucie.elph@vitbhopal.ac.in,Female,49,68,80,43,97,75,95,78,87,100,92,100
21XYZ10048,Jennine,Awcock,jennine.awcock@vitbhopal.ac.in,Female,51,84,98,70,86,91,67,71,75,86,92,79
21XYZ10049,Roddie,Secret,roddie.secret@vitbhopal.ac.in,Male,63,64,97,53,60,75,96,63,75,91,97,87
21XYZ10050,Leonerd,King,leonerd.king@vitbhopal.ac.in,Male,84,66,96,53,95,86,74,65,65,96,79,66
21XYZ10051,Colver,Ruffler,colver.ruffler@vitbhopal.ac.in,Male,57,64,55,53,62,67,70,99,84,64,76,70
21XYZ10052,Booth,Habert,booth.habert@vitbhopal.ac.in,Male,56,99,99,67,55,86,94,92,73,68,92,69
21XYZ10053,Jessica,Gethyn,jessica.gethyn@vitbhopal.ac.in,Female,99,100,93,48,66,60,86,82,73,83,62,87
21XYZ10054,Dicky,Sheach,dicky.sheach@vitbhopal.ac.in,Male,58,94,87,55,82,56,81,70,74,70,60,99
21XYZ10055,Constancy,Josselsohn,constancy.josselsohn@vitbhopal.ac.in,Female,63,82,76,57,41,89,64,80,76,88,69,94
21XYZ10056,Kattie,Brittle,kattie.brittle@vitbhopal.ac.in,Female,52,95,73,89,50,41,96,83,78,74,73,88
21XYZ10057,Laughton,Corke,laughton.corke@vitbhopal.ac.in,Male,76,83,54,49,96,46,96,70,73,63,71,99
21XYZ10058,Neil,Gedney,neil.gedney@vitbhopal.ac.in,Male,50,71,90,51,48,54,92,91,88,84,74,99
21XYZ10059,Millisent,Rossi,millisent.rossi@vitbhopal.ac.in,Male,97,41,73,63,52,96,83,77,82,84,70,64
21XYZ10060,Kelbee,Scrivens,kelbee.scrivens@vitbhopal.ac.in,Female,83,91,60,86,85,94,60,75,70,85,86,82
21XYZ10061,Joleen,Stockbridge,joleen.stockbridge@vitbhopal.ac.in,Female,95,54,42,54,71,83,83,65,99,98,91,71
21XYZ10062,Durand,Dudmesh,durand.dudmesh@vitbhopal.ac.in,Male,92,43,57,67,61,55,80,79,64,92,94,94
21XYZ10063,Lindsay,Rome,lindsay.rome@vitbhopal.ac.in,Male,92,43,86,100,85,75,98,63,73,77,73,81
21XYZ10064,Ogdan,Winthrop,ogdan.winthrop@vitbhopal.ac.in,Male,78,70,61,85,56,99,60,94,81,77,86,93
21XYZ10065,Lucien,Kibbel,lucien.kibbel@vitbhopal.ac.in,Male,70,50,55,64,61,72,99,74,71,76,96,60
21XYZ10066,Dene,Lane,dene.lane@vitbhopal.ac.in,Male,45,66,60,56,57,69,60,73,92,72,75,85
21XYZ10067,Hazel,Leonards,hazel.leonards@vitbhopal.ac.in,Male,54,53,59,51,75,86,90,67,81,90,85,78
21XYZ10068,Zahara,Karlowicz,zahara.karlowicz@vitbhopal.ac.in,Female,61,79,56,73,68,86,63,78,69,95,71,91
21XYZ10069,Kirsten,Lenchenko,kirsten.lenchenko@vitbhopal.ac.in,Female,48,74,46,84,88,90,82,68,75,64,87,72
21XYZ10070,Lorianna,Peaden,lorianna.peaden@vitbhopal.ac.in,Female,45,74,98,89,57,42,60,77,98,61,64,76
